product_id,product_category_name,product_category_name_english,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD_00107,auto,Auto,43,1218,6,5761,70,54,14
PROD_00108,health_beauty,Health & Beauty,57,238,1,8691,37,7,12
PROD_00109,stationery,Stationery,45,1137,3,20697,74,54,58
PROD_00110,auto,Auto,64,923,1,21089,78,39,24
PROD_00111,computers_accessories,Computers & Accessories,25,734,1,16854,36,56,24
PROD_00112,baby,Baby,40,900,5,20884,93,48,13
PROD_00113,computers_accessories,Computers & Accessories,64,995,6,27837,40,8,36
PROD_00114,watches_gifts,Watches & Gifts,79,989,1,14956,88,43,12
PROD_00115,computers_accessories,Computers & Accessories,62,1618,6,24369,32,12,6
PROD_00116,electronics,Electronics,28,1536,1,5468,73,27,71
PROD_00117,baby,Baby,70,1784,6,8595,31,28,21
PROD_00118,electronics,Electronics,69,1888,3,24116,25,54,8
PROD_00119,furniture_decor,Furniture & Decor,71,979,3,17265,18,21,78
PROD_00120,telephony,Telephony,24,1116,4,16837,56,8,68
PROD_00121,food_drink,Food & Drink,56,441,3,5254,42,54,18
PROD_00122,fashion_bags,Fashion Bags,56,1480,6,3879,39,52,70
PROD_00123,health_beauty,Health & Beauty,22,1858,1,8113,15,35,51
PROD_00124,auto,Auto,78,407,2,28198,14,40,58
PROD_00125,sports_leisure,Sports & Leisure,40,608,4,23702,50,22,14
PROD_00126,toys,Toys,43,344,5,22163,16,16,33
PROD_00127,stationery,Stationery,53,194,4,2358,69,60,41
PROD_00128,stationery,Stationery,74,736,3,2930,80,34,6
PROD_00129,furniture_decor,Furniture & Decor,32,697,5,25806,48,52,36
PROD_00130,garden_tools,Garden Tools,43,1311,4,25416,35,51,74
PROD_00131,stationery,Stationery,70,602,2,308,62,6,34
PROD_00132,baby,Baby,42,1402,6,28844,11,26,5
PROD_00133,stationery,Stationery,62,870,6,23929,49,11,31
PROD_00134,baby,Baby,35,959,4,2062,28,50,40
PROD_00135,watches_gifts,Watches & Gifts,22,1986,2,29502,76,31,52
PROD_00136,garden_tools,Garden Tools,67,273,5,3231,74,13,55
PROD_00137,watches_gifts,Watches & Gifts,57,1262,1,14353,94,13,35
PROD_00138,computers_accessories,Computers & Accessories,36,1842,3,26341,60,49,46
PROD_00139,furniture_decor,Furniture & Decor,48,656,2,2547,35,13,79
PROD_00140,watches_gifts,Watches & Gifts,29,316,2,14831,69,25,57
PROD_00141,watches_gifts,Watches & Gifts,54,833,2,14908,49,34,38
PROD_00142,food_drink,Food & Drink,27,285,2,26563,97,24,10
PROD_00143,sports_leisure,Sports & Leisure,73,1854,3,4960,21,50,36
PROD_00144,furniture_decor,Furniture & Decor,45,1151,1,22289,48,21,27
PROD_00145,health_beauty,Health & Beauty,80,928,4,18317,80,20,17
PROD_00146,garden_tools,Garden Tools,26,1746,2,4079,11,8,33
PROD_00147,bed_bath_table,Bed Bath Table,32,1786,4,12297,97,45,15
PROD_00148,toys,Toys,57,630,1,814,18,17,61
PROD_00149,stationery,Stationery,28,288,3,4114,15,34,11
PROD_00150,bed_bath_table,Bed Bath Table,79,1275,4,27024,60,36,8
PROD_00151,auto,Auto,63,973,2,11698,37,16,40
PROD_00152,computers_accessories,Computers & Accessories,48,1909,2,1235,88,44,36
PROD_00153,telephony,Telephony,38,1121,4,29026,80,35,12
PROD_00154,watches_gifts,Watches & Gifts,37,884,2,13837,35,46,72
PROD_00155,sports_leisure,Sports & Leisure,60,1742,5,26145,12,29,50
PROD_00156,garden_tools,Garden Tools,54,1700,4,11373,82,37,46
PROD_00157,auto,Auto,37,468,1,10548,86,19,8
PROD_00158,fashion_bags,Fashion Bags,71,1694,3,2019,70,38,50
PROD_00159,stationery,Stationery,57,576,2,3381,41,47,35
PROD_00160,computers_accessories,Computers & Accessories,54,1771,6,1932,38,41,54
PROD_00161,furniture_decor,Furniture & Decor,79,1818,2,5870,40,42,45
PROD_00162,stationery,Stationery,67,1528,3,19484,13,50,50
PROD_00163,toys,Toys,56,391,5,6268,73,39,44
PROD_00164,bed_bath_table,Bed Bath Table,51,177,1,1940,39,43,33
PROD_00165,health_beauty,Health & Beauty,53,1078,1,10970,88,17,21
PROD_00166,furniture_decor,Furniture & Decor,65,463,3,2051,12,14,80
PROD_00167,electronics,Electronics,78,390,1,27837,77,60,51
PROD_00168,watches_gifts,Watches & Gifts,43,1542,6,13062,85,11,48
PROD_00169,computers_accessories,Computers & Accessories,40,379,2,24097,65,55,67
PROD_00170,telephony,Telephony,40,456,6,18514,98,44,50
PROD_00171,sports_leisure,Sports & Leisure,62,1306,2,12498,49,51,42
PROD_00172,bed_bath_table,Bed Bath Table,31,1592,1,23103,83,30,77
PROD_00173,health_beauty,Health & Beauty,31,1333,3,26602,88,19,77
PROD_00174,watches_gifts,Watches & Gifts,79,1116,2,10951,19,20,49
PROD_00175,furniture_decor,Furniture & Decor,30,1402,1,27024,100,47,47
PROD_00176,garden_tools,Garden Tools,20,643,2,8276,98,9,49
PROD_00177,computers_accessories,Computers & Accessories,70,321,6,141,16,29,61
PROD_00178,electronics,Electronics,46,440,4,16257,58,27,74
PROD_00179,auto,Auto,26,1797,4,25945,83,46,33
PROD_00180,bed_bath_table,Bed Bath Table,48,250,1,9763,12,25,38
PROD_00181,watches_gifts,Watches & Gifts,24,800,2,29195,58,15,14
PROD_00182,baby,Baby,80,1939,1,11173,86,44,66
PROD_00183,electronics,Electronics,21,983,6,5506,87,32,25
PROD_00184,health_beauty,Health & Beauty,26,778,2,6325,62,49,75
PROD_00185,electronics,Electronics,79,1594,5,8792,94,23,43
PROD_00186,sports_leisure,Sports & Leisure,26,201,4,18835,80,58,67
PROD_00187,bed_bath_table,Bed Bath Table,23,838,1,14111,21,23,66
PROD_00188,sports_leisure,Sports & Leisure,26,152,2,5697,91,23,15
PROD_00189,garden_tools,Garden Tools,74,336,3,25818,60,35,67
PROD_00190,fashion_bags,Fashion Bags,62,642,1,21132,79,29,28
PROD_00191,furniture_decor,Furniture & Decor,76,881,3,6213,67,7,38
PROD_00192,garden_tools,Garden Tools,49,639,2,27529,44,41,12
PROD_00193,bed_bath_table,Bed Bath Table,68,1526,6,3268,20,47,49
PROD_00194,stationery,Stationery,54,947,5,7555,80,8,54
PROD_00195,food_drink,Food & Drink,53,957,5,22613,70,41,35
PROD_00196,garden_tools,Garden Tools,39,261,4,29682,14,37,78
PROD_00197,fashion_bags,Fashion Bags,53,1739,5,22301,89,14,20
PROD_00198,stationery,Stationery,48,454,2,7043,34,13,10
PROD_00199,auto,Auto,25,1499,4,6716,90,14,38
PROD_00200,furniture_decor,Furniture & Decor,78,1589,1,2951,59,40,55
